,Unnamed: 0,Date,Unix,Ticker,DE Ratio,Price,price_p_value,SP500,sp500_p_value,Difference
43,43,2012-11,1354001894.0,aa,56.51,8.31,51.366120218579226,1398.9399,106.78165048113169,-55.41553026255246
25,25,2013-01,1358862757.0,aa,53.49,9.16,66.84881602914389,1492.5601,120.61994294414144,-53.771126914997524
33,33,2013-04,1366732977.0,aa,53.21,8.12,47.90528233151182,1578.78,133.3643740854064,-85.4590917538946
46,46,2013-04,1366995315.0,aa,53.21,8.27,50.637522768670294,1582.24,133.87580742908668,-83.23828466041637
42,42,2013-09,1377995111.0,aa,52.71,7.7,40.25500910746812,1638.17,142.14299439788334,-101.88798529041523
71,71,2003-12,1070778970.0,aapl,0.07200000000000001,20.85,-96.5810704447068,1069.72,-26.597774026651287,-69.98329641805553
68,68,2004-02,1075779214.0,aapl,0.07,22.32,-96.34002361275087,1136.03,-22.047703349938928,-74.29232026281196
87,87,2004-06,1086211238.0,aapl,0.0,28.92,-95.2577725304998,1116.64,-23.378209614777603,-71.8795629157222
67,67,2004-08,1092088964.0,aapl,0.0,30.3,-95.03148366784731,1079.04,-25.958252706986706,-69.0732309608606
92,92,2004-10,1097545257.0,aapl,0.0,38.59,-93.67211071756527,1121.84,-23.02139514457848,-70.65071557298678
56,56,2004-12,1102155411.0,aapl,0.0,62.68,-89.72189426734883,1191.37,-18.25037396901204,-71.4715202983368
84,84,2005-01,1106738207.0,aapl,0.0,71.94,-88.20346320346322,1174.0699,-19.437475125914336,-68.76598807754888
76,76,2005-02,1107472028.0,aapl,0.0,77.81,-87.24091565000654,1203.03,-17.450286137757832,-69.79062951224871
77,77,2005-03,1109658963.0,aapl,0.0,44.86,-92.64397218942673,1210.41,-16.943884062744438,-75.7000881266823
88,88,2005-12,1134806153.0,aapl,0.0,71.11,-88.33956447592811,1272.74,-12.666913692069109,-75.67265078385901
85,85,2006-01,1138167832.0,aapl,0.0,76.04,-87.5311557129739,1264.6801,-13.219969259061019,-74.31118645391288
57,57,2006-02,1140174061.0,aapl,0.0,70.21,-88.48714416896235,1287.24,-11.6719502655523,-76.81519390341005
69,69,2006-02,1139289450.0,aapl,0.0,67.3,-88.96431850977307,1254.78,-13.899295977603025,-75.06502253217003
74,74,2006-02,1138960199.0,aapl,0.0,72.1,-88.17722681359045,1264.03,-13.264577929652653,-74.91264888393779
80,80,2007-02,1171734723.0,aapl,0.0,84.83,-86.0897940443395,1455.3,-0.13998106138581,-85.94981298295369
82,82,2007-02,1171891675.0,aapl,0.0,84.83,-86.0897940443395,1455.54,-0.12351270122277265,-85.96628134311672
83,83,2008-01,1201055325.0,aapl,0.0,155.64,-74.47855175127903,1338.6,-8.147721190662441,-66.3308305606166
62,62,2008-10,1225296891.0,aapl,0.0,104.55,-82.85615899252264,930.09,-36.17892873317139,-46.677230259351255
73,73,2008-10,1225068902.0,aapl,0.0,96.38,-84.19585465040011,848.92,-41.748665376645114,-42.447189273754994
81,81,2008-10,1225474443.0,aapl,0.0,107.59,-82.3576675849403,968.75,-33.526150383575555,-48.83151720136475
51,51,2008-12,1229461921.0,aapl,0.0,95.43,-84.3516332152696,904.42,-37.94035708894287,-46.411276126326726
58,58,2008-12,1228642044.0,aapl,0.0,94.0,-84.58612094975732,845.22,-42.002552595825264,-42.583568353932044
65,65,2008-12,1229374654.0,aapl,0.0,94.75,-84.46313787222877,913.18,-37.339261942992025,-47.123875929236746
91,91,2008-12,1228329714.0,aapl,0.0,95.9,-84.27456382001837,870.74,-40.251416965155684,-44.02314685486268
52,52,2009-01,1231727112.0,aapl,0.0,90.58,-85.1469237832874,870.26,-40.284353685481776,-44.862570097805644
64,64,2009-01,1230755515.0,aapl,0.0,85.35,-86.00452577725305,869.42,-40.341992946052386,-45.66253283120066
72,72,2009-10,1256219326.0,aapl,0.0,204.21099999999998,-66.51400367309458,1092.91,-25.00651872589786,-41.507484947196716
79,79,2009-11,1258023218.0,aapl,0.0,204.09599999999998,-66.53286107831563,1087.24,-25.395583734749604,-41.13727734356602
86,86,2011-05,1306064479.0,aapl,0.0,335.22,-45.0314836678473,1343.6,-7.804630353932509,-37.226853313914795
75,75,2011-09,1316828615.0,aapl,0.0,404.3,-33.70392234028598,1166.76,-19.939067067396763,-13.764855272889216
90,90,2011-09,1314922200.0,aapl,0.0,381.03,-37.51967729240457,1173.97,-19.444330080832195,-18.075347211572375
93,93,2011-09,1316808937.0,aapl,0.0,404.3,-33.70392234028598,1166.76,-19.939067067396763,-13.764855272889216
61,61,2011-10,1318558531.0,aapl,0.0,408.43,-33.02669552669553,1224.58,-15.971564631451823,-17.055130895243703
66,66,2011-10,1318039141.0,aapl,0.0,369.8,-39.361143906598464,1144.03,-21.498758011171034,-17.862385895427426
60,60,2011-11,1320326386.0,aapl,0.0,399.21,-34.53856749311296,1261.15,-13.462198251609086,-21.076369241503876
59,59,2012-01,1325998792.0,aapl,0.0,422.4,-30.735930735930747,1281.0601,-12.09600367793377,-18.63992705799697
63,63,2012-05,1337080391.0,aapl,0.0,559.26,-8.293978748524209,1330.66,-8.692549439389559,0.3985706908653519
70,70,2012-09,1348401209.0,aapl,0.0,700.09,14.798963662600027,1460.26,0.20036504865028568,14.59859861394974
50,50,2012-10,1350782374.0,aapl,0.0,609.84,0.0,1457.34,0.0,0.0
55,55,2012-10,1349972407.0,aapl,0.0,628.1,2.994227994227993,1432.84,-1.68114509997667,4.675373094204661
53,53,2013-01,1358695909.0,aapl,0.0,500.0,-18.01128164764529,1480.9399,1.6193818875485586,-19.63066353519385
78,78,2013-04,1366671689.0,aapl,0.0,398.67,-34.62711530893349,1578.78,8.332990242496606,-42.960105551430104
54,54,2013-05,1368732512.0,aapl,0.0,434.58,-28.73868555686738,1650.47,13.252226659530384,-41.990912216397774
89,89,2013-08,1376173832.0,aapl,13.75,454.45,-25.4804538895448,1697.48,16.47796670646521,-41.958420596010015
94,94,2013-06,1371621458.0,abbv,512.61,43.54,0.0,1628.9301,0.0,0.0
110,110,2003-10,1067169992.0,abc,0.5920000000000001,57.01,2.831890331890333,1033.77,-12.496931632540786,15.328821964431116
105,105,2004-01,1075261054.0,abc,0.429,56.36,1.6594516594516626,1128.48,-4.4802397135626135,6.139691373014276
108,108,2004-05,1084721055.0,abc,0.41200000000000003,58.97,6.367243867243871,1096.4399,-7.19226178887939,13.559505656123259
104,104,2004-10,1098221486.0,abc,0.331,52.1,-6.024531024531018,1103.66,-6.5811191711598855,0.5565881466288678
97,97,2005-01,1105155942.0,abc,0.332,57.9,4.437229437229439,1183.74,0.19722196358587848,4.24000747364356
95,95,2005-03,1112197962.0,abc,0.29100000000000004,55.44,0.0,1181.41,0.0,0.0
102,102,2005-05,1117057844.0,abc,0.23,65.93,18.921356421356442,1197.62,1.372089283144701,17.54926713821174
100,100,2005-12,1133671573.0,abc,0.223,79.46,43.32611832611832,1264.67,7.047511024961697,36.27860730115662
98,98,2007-02,1171937522.0,abc,0.308,54.9,-0.9740259740259724,1459.6801,23.554066750746983,-24.528092724772957
103,103,2007-04,1175775067.0,abc,0.308,53.94,-2.7056277056277054,1443.76,22.20651594281409,-24.912143648441788
106,106,2008-01,1201106045.0,abc,0.396,45.55,-17.839105339105338,1338.6,13.305287749384195,-31.144393088489537
96,96,2009-02,1234151254.0,abc,0.0,38.76,-30.086580086580092,869.89,-26.36849188681322,-3.718088199766868
107,107,2010-08,1282375592.0,abc,0.0,28.92,-47.835497835497826,1094.16,-7.38524305702508,-40.45025477847275
99,99,2011-07,1310069055.0,abc,42.86,43.05,-22.34848484848485,1343.8,13.745439771120935,-36.09392461960579
109,109,2012-02,1330437698.0,abc,66.41,37.75,-31.908369408369413,1372.1801,16.147662538830716,-48.05603194720014
101,101,2013-04,1366837320.0,abc,59.73,55.82,0.6854256854256899,1585.16,34.175265149270786,-33.489839463845094
126,126,2004-09,1095672662.0,abt,0.5429999999999999,42.92,-25.961704329825768,1122.2,-16.166143732257574,-9.795560597568194
134,134,2004-10,1098557288.0,abt,0.5429999999999999,40.86,-29.51526651716405,1103.66,-17.55117286717465,-11.9640936499894
114,114,2005-01,1106642651.0,abt,0.508,45.93,-20.769363463860614,1168.41,-12.71402958314656,-8.055333880714057
127,127,2005-02,1109604114.0,abt,0.508,45.61,-21.321373124029673,1203.6,-10.085163603765126,-11.23620952026454
115,115,2006-06,1150552861.0,abt,0.436,42.78,-26.20320855614973,1230.04,-8.109965635738828,-18.09324292041091
131,131,2006-07,1153211534.0,abt,0.436,44.48,-23.270657236501645,1236.86,-7.600478111459735,-15.670179125041908
121,121,2007-01,1168708782.0,abt,0.604,50.45,-12.972227013972738,1414.85,5.696249813237713,-18.66847682721045
113,113,2007-03,1174603660.0,abt,0.883,54.5,-5.985854752458166,1436.11,7.284476318541762,-13.270331070999925
122,122,2007-04,1176221589.0,abt,0.883,57.11,-1.4835259617043288,1448.39,8.201852681906484,-9.685378643610813
133,133,2007-06,1180823795.0,abt,0.871,56.3,-2.8808004140072483,1530.62,14.344837890333185,-17.225638304340432
112,112,2007-07,1183521559.0,abt,0.871,54.32,-6.296360186303258,1519.4301,13.508897355445995,-19.805257541749253
111,111,2008-01,1201117305.0,abt,0.784,57.97,0.0,1338.6,0.0,0.0
117,117,2008-04,1209340015.0,abt,0.687,51.28,-11.54045195790926,1396.37,4.315702973255639,-15.856154931164898
128,128,2008-10,1224784662.0,abt,0.732,55.02,-5.088839054683451,908.11,-32.1597191095174,27.070880054833946
116,116,2008-12,1230165056.0,abt,0.546,52.65,-9.177160600310506,871.63,-34.884954430001486,25.707793829690985
130,130,2011-08,1312503093.0,abt,76.17,48.77,-15.870277729860264,1199.38,-10.400418347527252,-5.469859382333013
119,119,2011-09,1314941067.0,abt,68.83,51.94,-10.401932033810594,1173.97,-12.298670252502609,1.8967382186920134
123,123,2011-11,1320200481.0,abt,68.83,52.76,-8.987407279627394,1237.9,-7.522784999252938,-1.4646222803744564
129,129,2012-01,1325445220.0,abt,67.73,56.23,-3.001552527169229,1263.02,-5.6461975197967975,2.6446449926275686
124,124,2012-03,1330707390.0,abt,62.85,57.39,-1.0005175090564056,1369.63,2.318093530554325,-3.318611039610732
132,132,2012-03,1333071855.0,abt,62.85,60.98,5.192340865965151,1408.47,5.219632451815339,-0.027291585850187868
120,120,2012-07,1341431184.0,abt,65.17,64.83,11.833707089874071,1365.51,2.0103092783505216,9.823397811523552
118,118,2013-05,1368022202.0,abt,76.36,36.06,-37.795411419699846,1632.6899,21.969961153443908,-59.76537257314375
125,125,2013-08,1376795565.0,abt,35.38,34.97,-39.675694324650685,1661.3199,24.108762886597944,-63.784457211248636
138,138,2004-08,1092682407.0,ace,0.26,39.1,-27.18808193668529,1079.34,-1.5631840070042406,-25.624897929681048
143,143,2004-10,1097393262.0,ace,0.26,41.04,-23.575418994413408,1130.65,3.1163359112797386,-26.69175490569315
145,145,2005-01,1105608449.0,ace,0.21,42.76,-20.372439478584734,1177.45,7.384539617685688,-27.756979096270427
142,142,2007-02,1171981925.0,ace,0.171,58.6,9.124767225325883,1459.6801,33.12418831168832,-23.999421086362428
144,144,2007-04,1175774046.0,ace,0.171,57.24,6.592178770949719,1443.76,31.672260323945718,-25.080081552996003
141,141,2008-01,1201110538.0,ace,0.154,59.98,11.694599627560509,1338.6,22.081570115277966,-10.386970487717461
135,135,2010-07,1279482193.0,ace,0.0,53.7,0.0,1096.48,0.0,0.0
136,136,2010-12,1291692570.0,ace,23.09,59.06,9.98137802607076,1223.75,11.607142857142856,-1.6257648310720931
137,137,2011-08,1313081340.0,ace,27.7,63.42,18.100558659217874,1172.64,6.945863125638415,11.154695533579462
140,140,2013-04,1366676643.0,ace,24.94,89.27,66.2383612662942,1578.78,43.98621041879469,22.252150847499518
139,139,2013-05,1368702537.0,ace,27.94,92.58,72.4022346368715,1650.47,50.524405369910994,21.87782926696051
150,150,2003-12,1071515544.0,aci,1.074,30.78,-10.834298957126308,1068.04,-8.224274973147157,-2.6100239839791506
146,146,2005-01,1106526787.0,aci,1.18,34.52,0.0,1163.75,0.0,0.0
152,152,2005-02,1107560211.0,aci,1.18,38.4,11.239860950173798,1193.1899,2.5297443609022623,8.710116589271536
151,151,2005-03,1112151028.0,aci,0.9359999999999999,41.15,19.20625724217843,1181.41,1.5175080558539276,17.688749186324504
156,156,2006-05,1148429821.0,aci,0.8540000000000001,46.39,34.385863267670906,1258.5699,8.147789473684206,26.238073793986697
155,155,2007-03,1173634867.0,aci,0.86,30.08,-12.862108922363857,1401.89,20.463157894736852,-33.32526681710071
153,153,2007-04,1175957547.0,aci,0.86,33.93,-1.7091541135573678,1439.37,23.683780880773355,-25.39293499433072
160,160,2008-03,1204465827.0,aci,0.851,51.09,48.00115874855156,1367.6801,17.52353168635876,30.477627062192806
162,162,2008-06,1212618236.0,aci,0.899,67.52,95.59675550405558,1404.05,20.648764769065515,74.94799073499006
147,147,2008-10,1223484688.0,aci,0.772,25.11,-27.259559675550413,984.94,-15.364983888292155,-11.894575787258262
149,149,2008-12,1228437357.0,aci,0.767,11.93,-65.44032444959444,876.07,-24.720085929108482,-40.72023852048597
148,148,2009-08,1249091560.0,aci,0.0,17.41,-49.565469293163396,975.15,-16.2062298603652,-33.35923943279819
157,157,2011-08,1313615801.0,aci,118.77,19.7,-42.93163383545771,1140.65,-1.9849624060150295,-40.94667142944268
161,161,2012-07,1343323870.0,aci,113.56,5.26,-84.76245654692931,1360.02,16.865306122448978,-101.62776266937828
154,154,2012-11,1352010726.0,aci,144.73,8.26,-76.07184241019701,1427.59,22.671535982814174,-98.74337839301116
158,158,2013-04,1366855553.0,aci,179.32,4.76,-86.2108922363847,1585.16,36.211385606874344,-122.42227784325905
159,159,2013-04,1366680315.0,aci,179.32,4.89,-85.8342989571263,1578.78,35.66315789473684,-121.49745685186312
163,163,2003-11,1068272687.0,acn,0.076,25.05,0.0,1051.8101,0.0,0.0
172,172,2004-11,1101669229.0,acn,0.023,25.94,3.5528942115768487,1182.65,12.43949834670728,-8.886604135130431
176,176,2004-12,1102645584.0,acn,0.023,26.2,4.590818363273447,1188.0,12.948145297330774,-8.357326934057324
177,177,2005-02,1107990656.0,acn,0.023,25.51,1.836327345309385,1197.01,13.804763806698576,-11.968436461389189
164,164,2005-04,1112576860.0,acn,0.023,24.44,-2.4351297405189603,1176.12,11.818663844357454,-14.253793584876414
174,174,2005-09,1125785218.0,acn,0.04,25.31,1.0379241516965991,1221.59,16.141687553675325,-15.103763401978727
173,173,2006-06,1149363854.0,acn,0.045,27.89,11.337325349301395,1270.09,20.752786078019213,-9.415460728717822
166,166,2006-08,1156214645.0,acn,0.034,28.57,14.051896207584827,1298.8199,23.484258232545976,-9.432362024961149
183,183,2006-08,1156193441.0,acn,0.034,28.57,14.051896207584827,1298.8199,23.484258232545976,-9.432362024961149
186,186,2006-08,1156634578.0,acn,0.034,28.36,13.21357285429141,1296.0601,23.221872465381345,-10.008299611089935
165,165,2006-11,1162471255.0,acn,0.027000000000000003,32.96,31.57684630738523,1367.34,29.998751675801554,1.5780946315836781
185,185,2006-11,1163192502.0,acn,0.027000000000000003,33.87,35.20958083832335,1385.72,31.746215405233336,3.4633654330900043
169,169,2006-12,1165090632.0,acn,0.027000000000000003,33.81,34.970059880239525,1400.63,33.16377167323267,1.8062882070068584
189,189,2007-03,1173885039.0,acn,0.018000000000000002,35.39,41.27744510978044,1387.17,31.884072989981767,9.393372119798672
184,184,2007-05,1178336834.0,acn,0.015,39.1,56.08782435129741,1495.92,42.223391846113685,13.864432505183728
170,170,2007-06,1181002654.0,acn,0.015,41.24,64.63073852295409,1530.95,45.55384094524288,19.076897577711208
190,190,2007-07,1183691196.0,acn,0.015,42.81,70.89820359281438,1530.4399,45.505343597670354,25.392859995144033
175,175,2008-04,1207518171.0,acn,0.004,36.77,46.786427145708586,1372.54,30.493137496968327,16.293289648740267
181,181,2008-10,1224357667.0,acn,0.003,31.4,25.349301397205586,907.84,-13.687841559992616,39.037142957198206
167,167,2008-12,1229872246.0,acn,0.001,32.21,28.582834331337324,885.28,-15.832715430285369,44.415549761622685
188,188,2008-12,1228217293.0,acn,0.003,29.98,19.680638722554892,848.81,-19.30007137219922,38.98071009475411
180,180,2009-08,1249918805.0,acn,0.0,35.85,43.113772455089816,1007.1,-4.250776827490048,47.36454928257987
187,187,2011-09,1314881497.0,acn,0.11,53.62,114.05189620758482,1204.42,14.509263601861225,99.5426326057236
182,182,2011-11,1320698419.0,acn,0.1,58.0,131.5369261477046,1275.92,21.30706864290428,110.22985750480032
171,171,2012-02,1330462021.0,acn,0.15,59.76,138.562874251497,1365.6801,29.84093801723336,108.72193623426365
178,178,2012-11,1351980688.0,acn,0.0,67.91,171.09780439121755,1427.59,35.726972007589595,135.37083238362794
168,168,2013-04,1366677922.0,acn,0.0,74.94,199.16167664670658,1578.78,50.101239758013364,149.06043688869326
179,179,2013-05,1368141449.0,acn,0.0,80.09,219.7205588822356,1633.7,55.32271462310546,164.3978442591301
191,191,2013-05,1368332849.0,act,177.28,119.86,0.0,1626.67,0.0,0.0
200,200,2004-01,1074994325.0,adbe,0.0,38.04,-8.469682386910497,1143.9399,-23.034387404965344,14.564705018054848
199,199,2004-08,1093115400.0,adbe,0.0,46.09,10.899903753609241,1095.17,-26.315683240261045,37.21558699387029
203,203,2004-11,1100265577.0,adbe,0.0,58.1,39.79788257940327,1184.17,-20.327659288165236,60.1255418675685
193,193,2005-02,1107778807.0,adbe,0.0,63.67,53.200192492781525,1201.72,-19.146874789746345,72.34706728252786
213,213,2005-04,1112659942.0,adbe,0.0,66.58,60.202117420596714,1181.39,-20.51470093520823,80.71681835580495
207,207,2005-08,1125471090.0,adbe,0.0,27.12,-34.744947064485075,1220.33,-17.89477225324632,-16.850174811238762
222,222,2006-02,1140513501.0,adbe,0.0,37.8,-9.04716073147258,1283.03,-13.67624301957882,4.629082288106238
223,223,2006-04,1144391797.0,adbe,0.0,36.1,-13.137632338787295,1295.5,-12.837246854605393,-0.30038548418190203
204,204,2006-06,1151076700.0,adbe,0.0,30.5,-26.612127045235805,1244.5,-16.268586422660295,-10.34354062257551
209,209,2006-11,1164692665.0,adbe,0.0,40.22,-3.224254090471616,1386.72,-6.6998587095471915,3.4756046190755776
195,195,2007-01,1169902233.0,adbe,0.0,39.26,-5.534167468719933,1440.13,-3.106371526609692,-2.427795942110241
197,197,2007-03,1173393414.0,adbe,0.0,39.08,-5.967276227141491,1402.84,-5.6152862813698485,-0.3519899457716438
218,218,2007-03,1173925818.0,adbe,0.0,39.3,-5.4379210779595875,1392.28,-6.325775415461211,0.8878543375016229
221,221,2007-03,1175089434.0,adbe,0.0,42.14,1.3955726660250198,1417.23,-4.6471102738343495,6.042682939859369
201,201,2007-04,1177819304.0,adbe,0.0,42.89,3.2001924927815164,1494.25,0.5348852856085612,2.665307207172955
205,205,2007-04,1177909649.0,adbe,0.0,42.89,3.2001924927815164,1482.37,-0.2644149902442349,3.4646074830257514
192,192,2007-05,1178001484.0,adbe,0.0,41.56,0.0,1486.3,0.0,0.0
202,202,2007-05,1180547274.0,adbe,0.0,43.22,3.994225216554371,1530.23,2.955661710287295,1.0385635062670762
210,210,2007-05,1180572300.0,adbe,0.0,43.22,3.994225216554371,1530.62,2.9819013658077065,1.0123238507466643
198,198,2007-06,1183222560.0,adbe,0.0,40.15,-3.3926852743022216,1506.34,1.3483146067415706,-4.740999881043793
220,220,2007-10,1192673081.0,adbe,0.0,45.97,10.611164581328193,1540.08,3.6183812150978927,6.992783366230298
214,214,2008-01,1201117557.0,adbe,0.0,34.33,-17.396535129932634,1338.6,-9.937428513759002,-7.459106616173634
208,208,2008-12,1229496175.0,adbe,0.08,22.32,-46.29451395572665,904.42,-39.149566036466396,-7.144947919260267
211,211,2008-12,1228418155.0,adbe,0.08,20.44,-50.81809432146296,876.07,-41.05698714929691,-9.761107172166044
217,217,2008-12,1228383057.0,adbe,0.08,22.54,-45.76515880654476,845.22,-43.13261118213012,-2.632547624414641
219,219,2008-12,1229791754.0,adbe,0.079,22.13,-46.75168431183831,904.42,-39.149566036466396,-7.602118275371914
212,212,2011-04,1303603364.0,adbe,28.03,33.48,-19.441770933590004,1337.38,-10.019511538720302,-9.422259394869704
196,196,2011-08,1312503106.0,adbe,28.17,26.15,-37.07892204042349,1199.38,-19.30431272286886,-17.774609317554628
215,215,2011-09,1316943774.0,adbe,28.17,24.88,-40.13474494706449,1129.5601,-24.001877144587237,-16.132867802477254
194,194,2011-10,1318931246.0,adbe,27.25,26.24,-36.86236766121272,1225.38,-17.55500235484087,-19.30736530637185
206,206,2012-03,1332576787.0,adbe,25.26,33.81,-18.647738209817128,1402.89,-5.611922222969781,-13.03581598684735
216,216,2012-07,1341189082.0,adbe,24.76,32.37,-22.11260827718961,1365.51,-8.126892282850028,-13.985715994339587
241,241,2004-01,1074565758.0,adi,0.0,50.5,42.77636415040996,1138.77,-21.124702166565086,63.90106631697505
227,227,2004-05,1084373187.0,adi,0.0,45.04,27.33955329375177,1097.28,-23.99844849559484,51.338001789346606
244,244,2004-06,1087880953.0,adi,0.0,45.03,27.311280746395262,1134.41,-21.42669141685598,48.737972163251236
245,245,2004-08,1092089248.0,adi,0.0,35.92,1.5549901046084371,1079.04,-25.26181636837148,26.816806472979913
231,231,2004-11,1100152575.0,adi,0.0,38.5,8.849307322589773,1173.48,-18.720562974455586,27.56987029704536
236,236,2005-01,1106523268.0,adi,0.0,34.47,-2.5445292620865096,1163.75,-19.394497700448827,16.84996843836232
237,237,2005-03,1111007145.0,adi,0.0,35.92,1.5549901046084371,1190.21,-17.561783121848507,19.116773226456942
226,226,2005-04,1112988800.0,adi,0.0,35.67,0.8481764206955168,1181.2,-18.185848063390036,19.03402448408555
243,243,2005-09,1126119653.0,adi,0.0,36.88,4.269154650834055,1236.36,-14.365268465672969,18.634423116507023
229,229,2005-10,1130732388.0,adi,0.0,34.61,-2.1487135990952733,1207.01,-16.398154817975286,14.249441218880012
232,232,2006-12,1165429570.0,adi,0.0,33.57,-5.089058524173019,1412.9,-2.137474372471872,-2.951584151701148
240,240,2007-02,1171981949.0,adi,0.0,32.97,-6.785411365564034,1459.6801,1.1026832714578632,-7.888094637021898
224,224,2007-04,1175757688.0,adi,0.0,35.37,0.0,1443.76,0.0,0.0
242,242,2008-01,1201107566.0,adi,0.0,27.74,-21.57195363302233,1338.6,-7.283759073530233,-14.2881945594921
225,225,2008-04,1208420491.0,adi,0.0,31.44,-11.1111111111111,1365.5601,-5.4164057738128255,-5.694705337298273
230,230,2008-10,1224002374.0,adi,0.0,22.77,-35.623409669211185,998.01,-30.874245026874274,-4.749164642336918
