,Date,Unix,Ticker,DE Ratio,Price,price_p_value,SP500,sp500_p_value,Difference
0,2005-01,1106356639.0,a,0.322,21.8,0.0,1184.63,0.0,0.0
1,2011-11,1320714256.0,a,51.62,37.74,73.11926605504587,1275.92,7.70620362476047,65.4130624302854
2,2006-01,1136759716.0,a,0.0,34.65,58.94495412844035,1290.15,8.907422570760488,50.03753155767986
3,2008-02,1202949874.0,a,0.645,32.68,49.90825688073394,1348.86,13.863400386618588,36.04485649411535
4,2007-02,1171979216.0,a,0.411,32.48,48.99082568807337,1459.6801,23.218228476401904,25.772597211671467
5,2013-05,1368476938.0,a,44.12,43.04,97.43119266055045,1650.34,39.3126967914032,58.11849586914725
6,2004-01,1075474862.0,a,0.407,36.65,68.11926605504586,1131.13,-4.516178047153963,72.63544410219981
7,2004-04,1081814831.0,a,0.375,31.87,46.19266055045871,1129.4399,-4.658847066172562,50.851507616631274
8,2008-04,1209170963.0,a,0.67,31.53,44.633027522935784,1379.9301,16.48616867713969,28.146858845796093
9,2013-09,1378433392.0,a,56.39,47.68,118.71559633027522,1655.17,39.72041903379113,78.99517729648409
10,2008-12,1228573293.0,a,0.83,17.26,-20.825688073394492,870.74,-26.496880882638468,5.671192809243976
11,2011-08,1312253137.0,a,54.36,40.79,87.11009174311926,1254.05,5.860057570718269,81.25003417240099
12,2004-12,1102959454.0,a,0.323,23.84,9.357798165137611,1198.6801,1.1860327697255624,8.171765395412049
13,2008-01,1201102130.0,a,0.645,32.16,47.52293577981649,1338.6,12.997307176080279,34.525628603736216
14,2006-06,1150873276.0,a,0.368,32.18,47.61467889908256,1252.2,5.703890666283982,41.91078823279858
15,2009-08,1249177584.0,a,0.0,23.22,6.513761467889899,986.75,-16.703949756464052,23.217711224353952
16,2006-08,1155969721.0,a,0.396,31.8,45.87155963302752,1295.4301,9.353139798924552,36.51841983410297
17,2007-04,1176340071.0,a,0.411,34.62,58.80733944954126,1447.8,22.21537526485061,36.59196418469065
18,2009-03,1236604670.0,aa,0.0,5.49,0.0,676.53,0.0,0.0
19,2011-11,1320257087.0,aa,50.93,10.7,94.8998178506375,1237.9,82.97784281554405,11.921975035093453
20,2008-12,1228420995.0,aa,0.672,8.06,46.81238615664846,876.07,29.494626993629268,17.31775916301919
21,2004-12,1102192602.0,aa,0.53,32.86,498.54280510018214,1190.33,75.94637340546613,422.596431694716
22,2011-11,1320514164.0,aa,50.93,10.93,99.08925318761383,1237.9,82.97784281554405,16.111410372069784
23,2012-05,1337413912.0,aa,55.28,8.43,53.551912568306,1324.8,95.82280164959425,-42.27088908128825
24,2005-01,1105586312.0,aa,0.457,29.43,436.0655737704917,1177.45,74.04254061165064,362.0230331588411
25,2013-01,1358862757.0,aa,53.49,9.16,66.8488160291439,1492.5601,120.61994294414143,-53.771126914997524
26,2007-05,1179335567.0,aa,0.494,39.04,611.1111111111111,1514.14,123.80973497110257,487.30137614000853
27,2004-09,1094732145.0,aa,0.561,32.89,499.08925318761385,1118.38,65.31122049280891,433.77803269480495
28,2007-06,1182479952.0,aa,0.503,40.34,634.7905282331512,1502.5601,122.09807399524041,512.6924542379109
29,2007-10,1192121879.0,aa,0.47,38.08,593.6247723132968,1554.41,129.7621687138782,463.86260359941866
30,2006-06,1150763541.0,aa,0.526,29.1,430.0546448087432,1240.12,83.30598790888799,346.74865689985523
31,2008-10,1225137142.0,aa,0.672,9.04,64.6630236794171,940.51,39.019703486911155,25.64332019250594
32,2012-03,1331264046.0,aa,54.5,9.77,77.95992714025499,1370.87,102.6325514020073,-24.672624261752304
33,2013-04,1366732977.0,aa,53.21,8.12,47.90528233151182,1578.78,133.3643740854064,-85.4590917538946
34,2008-12,1228538026.0,aa,0.672,8.15,48.451730418943534,870.74,28.7067831433935,19.744947275550032
35,2004-04,1081815610.0,aa,0.595,34.26,524.0437158469945,1129.4399,66.94601865401388,457.0976971929806
36,2004-11,1101278240.0,aa,0.53,33.58,511.6575591985427,1181.76,74.6796150946743,436.97794410386837
37,2012-07,1343566317.0,aa,56.42,8.45,53.91621129326045,1360.02,101.0287792115649,-47.11256791830444
38,2012-01,1325518926.0,aa,50.93,8.65,57.5591985428051,1257.6,85.88976098620903,-28.330562443403927
39,2012-03,1332109488.0,aa,54.5,10.54,91.98542805100179,1409.75,108.3795249286802,-16.394096877678408
40,2011-09,1315027283.0,aa,48.26,12.04,119.30783242258649,1218.89,80.16791568740487,39.139916735181615
41,2007-01,1169737777.0,aa,0.494,31.46,473.04189435336974,1423.9,110.47108036598527,362.57081398738444
42,2013-09,1377995111.0,aa,52.71,7.7,40.25500910746812,1638.17,142.14299439788334,-101.88798529041523
43,2012-11,1354001894.0,aa,56.51,8.31,51.36612021857923,1398.9399,106.78165048113169,-55.41553026255246
44,2008-12,1229579647.0,aa,0.672,10.35,88.52459016393442,885.28,30.85598569169143,57.66860447224299
45,2005-05,1116737303.0,aa,0.543,27.45,400.0,1191.08,76.05723323429855,323.94276676570144
46,2013-04,1366995315.0,aa,53.21,8.27,50.637522768670294,1582.24,133.87580742908668,-83.23828466041638
47,2005-02,1107733717.0,aa,0.457,29.37,434.97267759562845,1201.72,77.6299646726679,357.3427129229606
48,2007-02,1172207022.0,aa,0.494,34.75,532.9690346083788,1451.1899,114.50488522312389,418.4641493852549
49,2008-01,1201089953.0,aa,0.499,28.04,410.74681238615665,1338.6,97.86262250011085,312.8841898860458
50,2012-10,1350782374.0,aapl,0.0,609.84,0.0,1457.34,0.0,0.0
