,Date,Unix,Ticker,DE Ratio,Price,price_p_value,SP500,sp500_p_value,Difference
20,2004-12,1102192602.0,aa,0.53,32.86,-4.086398131932278,1190.33,5.391176635427865,-9.477574767360142
21,2005-01,1105586312.0,aa,0.457,29.43,-14.098073555166371,1177.45,4.25078837749578,-18.348861932662153
22,2005-02,1107733717.0,aa,0.457,29.37,-14.27320490367775,1201.72,6.3996410964408055,-20.672846000118554
23,2005-05,1116737303.0,aa,0.543,27.45,-19.87740805604203,1191.08,5.4575812311925445,-25.334989287234574
24,2006-06,1150763541.0,aa,0.526,29.1,-15.061295971978975,1240.12,9.799556399592383,-24.860852371571358
25,2007-01,1169737777.0,aa,0.494,31.46,-8.172796263864557,1423.9,26.071338545769457,-34.24413480963401
26,2007-02,1172207022.0,aa,0.494,34.75,1.4302393461763048,1451.1899,28.48757158304749,-27.057332236871186
27,2007-05,1179335567.0,aa,0.494,39.04,13.952130764740225,1514.14,34.061139508175685,-20.10900874343546
28,2007-06,1182479952.0,aa,0.503,40.34,17.746643315820215,1502.5601,33.03586140351513,-15.289218087694913
29,2007-10,1192121879.0,aa,0.47,38.08,11.150029188558088,1554.41,37.62662360343388,-26.47659441487579
30,2008-01,1201089953.0,aa,0.499,28.04,-18.155283129013426,1338.6,18.518922520799897,-36.674205649813324
31,2008-10,1225140742.0,aa,0.672,9.04,-73.61354349095154,940.51,-16.72775151648176,-56.88579197446978
32,2008-12,1228424595.0,aa,0.672,8.06,-76.47402218330413,876.07,-22.433234384583013,-54.04078779872111
33,2008-12,1228541626.0,aa,0.672,8.15,-76.21132516053707,870.74,-22.90514971181734,-53.30617544871973
34,2008-12,1229583247.0,aa,0.672,10.35,-69.78984238178634,885.28,-21.617785948592758,-48.17205643319359
35,2011-09,1315027283.0,aa,48.26,12.04,-64.85697606538237,1218.89,7.919863642146874,-72.77683970752925
36,2011-11,1320257087.0,aa,50.93,10.7,-68.76824284880327,1237.9,9.602998796128949,-78.37124164493221
37,2011-11,1320514164.0,aa,50.93,10.93,-68.09690601284296,1237.9,9.602998796128949,-77.69990480897191
38,2012-01,1325518926.0,aa,50.93,8.65,-74.75189725627554,1257.6,11.347226178214513,-86.09912343449005
39,2012-03,1331264046.0,aa,54.5,9.77,-71.48277875072971,1370.87,21.3760909279015,-92.85886967863121
40,2012-03,1332109488.0,aa,54.5,10.54,-69.23525977816696,1409.75,24.818505172342494,-94.05376495050946
41,2012-05,1337413912.0,aa,55.28,8.43,-75.3940455341506,1324.8,17.297077958729798,-92.69112349288041
